lead_id,company_size,industry,source,plan_interest,sales_stage,deal_value,outcome,converted_customer_id
L000424,751,FinTech,Outbound,Starter,Negotiation,7379,In Progress,
L000425,869,Education,Outbound,Business,Demo,16915,Lost,
L000426,499,E-commerce,Outbound,Business,Demo,18102,Lost,
L000427,116,IT Services,Referral,Starter,New,8147,Converted,C0718
L000428,482,Professional Services,Outbound,Starter,New,4731,In Progress,
L000429,8,Professional Services,Partner,Free,Negotiation,2194,Converted,C0980
L000430,281,Professional Services,Partner,Business,Qualified,19304,Lost,
L000431,372,Education,Website,Business,Proposal,3776,In Progress,
L000432,256,Professional Services,Paid Ads,Business,Qualified,15320,Converted,C0515
L000433,982,FinTech,Partner,Business,New,14108,Lost,
L000434,270,SaaS,Paid Ads,Business,Qualified,10272,Converted,C0941
L000435,63,Healthcare,Paid Ads,Starter,Negotiation,7514,Converted,C0222
L000436,324,Healthcare,Paid Ads,Starter,New,6488,Converted,C0306
L000437,944,SaaS,Website,Business,Proposal,15925,Lost,
L000438,621,FinTech,Paid Ads,Starter,Demo,8380,In Progress,
L000439,564,IT Services,Referral,Business,Qualified,18188,In Progress,
L000440,838,Healthcare,Paid Ads,Business,Qualified,15810,Lost,
L000441,599,Education,Outbound,Business,Proposal,16616,Converted,C0714
L000442,539,FinTech,Paid Ads,Starter,Qualified,4079,Lost,
L000443,586,E-commerce,Paid Ads,Business,Negotiation,6884,In Progress,
L000444,957,Professional Services,Outbound,Business,Demo,9794,Converted,C0471
L000445,486,E-commerce,Outbound,Business,Proposal,13894,Lost,
L000446,933,Professional Services,Paid Ads,Business,Negotiation,15289,Lost,
L000447,706,Healthcare,Partner,Starter,New,4675,In Progress,
L000448,597,Professional Services,Website,Business,Demo,7223,In Progress,
L000449,107,Professional Services,Paid Ads,Business,Qualified,16929,Lost,
L000450,880,E-commerce,Website,Business,Qualified,19856,Lost,
L000451,894,Marketing,Paid Ads,Business,Demo,2416,Converted,C0898
L000452,700,IT Services,Referral,Starter,New,8967,Lost,
L000453,936,Healthcare,Referral,Starter,New,7514,Converted,C0023
L000454,314,Professional Services,Outbound,Starter,Negotiation,1215,Converted,C0836
L000455,521,SaaS,Partner,Business,Demo,18568,In Progress,
L000456,930,Education,Partner,Business,Qualified,2302,In Progress,
L000457,981,Marketing,Outbound,Starter,Demo,7928,Lost,
L000458,477,Professional Services,Referral,Business,Proposal,3471,Converted,C0884
L000459,677,FinTech,Paid Ads,Business,New,10472,Lost,
L000460,929,FinTech,Partner,Business,Proposal,17629,In Progress,
L000461,671,E-commerce,Website,Business,Proposal,16247,Converted,C0851
L000462,926,E-commerce,Referral,Business,Qualified,13045,Converted,C0413
L000463,730,Marketing,Partner,Business,New,14588,Converted,C0756
L000464,549,Marketing,Paid Ads,Business,Proposal,16448,Lost,
L000465,160,Healthcare,Paid Ads,Starter,Qualified,18852,Converted,C0076
L000466,210,SaaS,Partner,Business,Qualified,17525,Converted,C0825
L000467,993,Education,Paid Ads,Starter,Proposal,13825,In Progress,
L000468,903,FinTech,Website,Starter,Qualified,6364,Lost,
L000469,941,FinTech,Website,Business,Demo,5568,Lost,
L000470,365,FinTech,Outbound,Business,Qualified,12486,In Progress,
L000471,639,Professional Services,Paid Ads,Starter,Demo,16715,Lost,
L000472,221,Professional Services,Outbound,Starter,Demo,8678,Lost,
L000473,871,Professional Services,Paid Ads,Business,Qualified,13040,Lost,
L000474,1000,SaaS,Website,Business,Qualified,11106,In Progress,
L000475,760,Education,Partner,Starter,Qualified,13944,In Progress,
L000476,99,FinTech,Referral,Starter,Proposal,10359,Lost,
L000477,811,E-commerce,Referral,Business,Proposal,12623,Lost,
L000478,828,IT Services,Paid Ads,Business,New,12043,Converted,C0687
L000479,449,Marketing,Outbound,Business,Proposal,10121,Lost,
L000480,619,SaaS,Referral,Starter,Demo,10140,Lost,
L000481,839,Professional Services,Partner,Business,Proposal,7009,Converted,C0717
L000482,481,SaaS,Website,Business,Negotiation,9623,Lost,
L000483,876,IT Services,Website,Business,New,9492,In Progress,
L000484,467,SaaS,Website,Starter,Negotiation,19592,Lost,
L000485,883,IT Services,Referral,Business,Proposal,7869,Converted,C0694
L000486,366,Marketing,Paid Ads,Business,New,10896,Converted,C0647
L000487,141,E-commerce,Referral,Starter,Qualified,14021,In Progress,
L000488,591,Education,Outbound,Business,Qualified,13685,In Progress,
L000489,588,Marketing,Referral,Business,Proposal,1957,In Progress,
L000490,521,FinTech,Paid Ads,Starter,Proposal,17474,Lost,
L000491,586,IT Services,Outbound,Starter,Negotiation,10493,Lost,
L000492,594,Education,Website,Starter,Demo,11675,Converted,C0054
L000493,382,Marketing,Website,Business,Qualified,9099,Converted,C0251
L000494,281,IT Services,Referral,Business,Qualified,7358,Converted,C0632
L000495,855,E-commerce,Paid Ads,Business,Proposal,11975,In Progress,
L000496,276,FinTech,Outbound,Business,Negotiation,16493,Lost,
L000497,630,IT Services,Referral,Business,Proposal,1870,Lost,
L000498,717,Healthcare,Outbound,Starter,Proposal,9531,Lost,
L000499,208,SaaS,Website,Business,Qualified,12085,Lost,
L000500,841,Education,Partner,Business,Negotiation,19762,Lost,
L000501,924,E-commerce,Outbound,Starter,Qualified,12753,In Progress,
L000502,178,Healthcare,Referral,Starter,Proposal,12141,In Progress,
L000503,375,Healthcare,Partner,Business,Qualified,15485,Converted,C0210
L000504,460,FinTech,Outbound,Business,Negotiation,3668,In Progress,
L000505,374,Healthcare,Referral,Business,Negotiation,17345,In Progress,
L000506,406,IT Services,Website,Business,New,8794,Lost,
L000507,804,SaaS,Paid Ads,Business,Proposal,7027,In Progress,
L000508,627,Healthcare,Outbound,Business,Proposal,14586,Lost,
L000509,591,FinTech,Partner,Starter,Proposal,7626,In Progress,
L000510,717,Professional Services,Referral,Business,Negotiation,3262,In Progress,
L000511,229,FinTech,Outbound,Starter,Proposal,5377,Converted,C0733
L000512,176,Healthcare,Referral,Starter,Demo,18836,Lost,
L000513,678,Education,Paid Ads,Business,Demo,4930,In Progress,
L000514,308,FinTech,Referral,Business,Demo,17277,In Progress,
L000515,516,Education,Referral,Business,Proposal,18882,Converted,C0367
L000516,772,IT Services,Paid Ads,Business,Qualified,7506,Lost,
L000517,357,Education,Partner,Business,Proposal,17574,In Progress,
L000518,682,SaaS,Paid Ads,Starter,Negotiation,12934,Lost,
L000519,942,Professional Services,Outbound,Business,Demo,18153,In Progress,
L000520,286,IT Services,Outbound,Business,New,9502,Lost,
L000521,721,Healthcare,Partner,Starter,Demo,15520,Lost,
L000522,315,SaaS,Website,Business,Negotiation,6396,In Progress,
L000523,507,SaaS,Partner,Business,New,14208,Lost,
L000524,33,Healthcare,Referral,Free,Demo,12010,In Progress,
L000525,658,IT Services,Paid Ads,Business,Negotiation,2034,Lost,
L000526,735,Healthcare,Outbound,Business,Negotiation,969,Lost,
L000527,448,E-commerce,Paid Ads,Business,Demo,6759,Converted,C0338
L000528,64,E-commerce,Outbound,Starter,Negotiation,8053,In Progress,
L000529,103,IT Services,Partner,Business,New,19701,Lost,
L000530,552,Healthcare,Outbound,Business,Qualified,10090,In Progress,
L000531,141,E-commerce,Partner,Business,Negotiation,8597,In Progress,
L000532,981,IT Services,Website,Starter,Demo,17376,Lost,
L000533,474,IT Services,Paid Ads,Starter,Proposal,9068,In Progress,
L000534,448,IT Services,Paid Ads,Business,Demo,8199,Lost,
L000535,684,Healthcare,Outbound,Business,Negotiation,4803,Lost,
L000536,814,Education,Website,Business,Qualified,9084,Converted,C0872
L000537,137,E-commerce,Referral,Business,New,15871,Converted,C0517
L000538,678,IT Services,Referral,Starter,Demo,6787,Converted,C0535
L000539,90,E-commerce,Paid Ads,Business,Negotiation,583,In Progress,
L000540,539,Marketing,Website,Business,Qualified,2130,Lost,
L000541,965,Healthcare,Referral,Starter,Qualified,12526,Lost,
L000542,910,E-commerce,Partner,Business,New,2730,Converted,C0672
L000543,740,Healthcare,Website,Business,New,671,In Progress,
L000544,82,Professional Services,Paid Ads,Business,Negotiation,9484,Converted,C0367
L000545,656,Healthcare,Paid Ads,Business,Qualified,4784,Converted,C1000
L000546,248,Education,Website,Business,Qualified,18977,Converted,C0869
L000547,718,IT Services,Referral,Business,Proposal,2364,In Progress,
L000548,794,IT Services,Partner,Starter,Proposal,3682,Converted,C0032
L000549,195,SaaS,Outbound,Business,Proposal,955,In Progress,
L000550,956,SaaS,Paid Ads,Business,New,8187,Lost,
L000551,618,SaaS,Outbound,Business,Demo,14928,Lost,
L000552,455,Education,Website,Business,Qualified,5549,Converted,C0938
L000553,175,IT Services,Outbound,Starter,Proposal,9121,In Progress,
L000554,240,Healthcare,Website,Starter,Demo,12582,Converted,C0977
L000555,128,Education,Website,Business,New,7102,Lost,
L000556,278,FinTech,Website,Business,Negotiation,14704,In Progress,
L000557,420,SaaS,Partner,Business,Demo,9185,Converted,C0512
L000558,683,SaaS,Referral,Business,Qualified,11646,Lost,
L000559,548,Education,Partner,Business,Proposal,15991,Converted,C0359
L000560,110,Education,Paid Ads,Starter,Proposal,19566,In Progress,
L000561,121,Professional Services,Paid Ads,Starter,Qualified,16351,Converted,C0616
L000562,910,SaaS,Outbound,Business,Negotiation,13773,Lost,
L000563,60,E-commerce,Referral,Business,Qualified,792,In Progress,
L000564,54,E-commerce,Partner,Starter,Negotiation,17746,Converted,C0809
L000565,288,Education,Partner,Business,Negotiation,10709,In Progress,
L000566,472,SaaS,Partner,Business,Qualified,15149,Converted,C0218
L000567,303,SaaS,Referral,Business,Demo,1392,Converted,C0335
L000568,213,Education,Partner,Business,Demo,9884,Converted,C0227
L000569,487,FinTech,Outbound,Starter,Negotiation,8053,Lost,
L000570,527,FinTech,Outbound,Business,New,1028,Lost,
L000571,959,FinTech,Paid Ads,Starter,Proposal,19863,Lost,
L000572,687,Professional Services,Outbound,Business,Proposal,18652,Converted,C0539
L000573,792,Education,Referral,Business,New,16460,In Progress,
L000574,189,FinTech,Paid Ads,Business,Qualified,9368,In Progress,
L000575,15,SaaS,Paid Ads,Starter,Qualified,8700,Lost,
L000576,26,Professional Services,Paid Ads,Free,Demo,17646,Converted,C0021
L000577,126,E-commerce,Referral,Business,Demo,14970,Lost,
L000578,611,E-commerce,Referral,Business,Proposal,17076,In Progress,
L000579,150,Education,Outbound,Starter,Negotiation,13369,Converted,C0940
L000580,407,SaaS,Referral,Business,Proposal,16761,Lost,
L000581,146,SaaS,Referral,Starter,Proposal,4873,In Progress,
L000582,762,IT Services,Website,Starter,New,14870,Lost,
L000583,749,Professional Services,Outbound,Business,Negotiation,2615,Lost,
L000584,579,Education,Partner,Business,Proposal,1228,Lost,
L000585,603,Marketing,Partner,Starter,New,1184,Converted,C0940
L000586,364,Professional Services,Partner,Business,Demo,8913,Converted,C0218
L000587,525,IT Services,Website,Starter,Demo,5681,Lost,
L000588,923,Professional Services,Website,Business,New,16417,Lost,
L000589,297,SaaS,Referral,Starter,Negotiation,640,Lost,
L000590,324,Healthcare,Paid Ads,Business,Qualified,13012,Lost,
L000591,850,Education,Outbound,Business,New,12972,Lost,
L000592,636,FinTech,Referral,Starter,Negotiation,7493,Lost,
L000593,11,Education,Paid Ads,Free,Demo,4413,In Progress,
L000594,800,SaaS,Website,Business,Qualified,9532,Lost,
L000595,655,Professional Services,Outbound,Business,Proposal,10846,In Progress,
L000596,905,IT Services,Outbound,Business,Demo,9130,In Progress,
L000597,849,FinTech,Outbound,Business,Proposal,15348,Converted,C0812
L000598,589,Professional Services,Outbound,Starter,Qualified,7349,In Progress,
L000599,798,Marketing,Website,Starter,Proposal,15652,In Progress,
L000600,412,Professional Services,Paid Ads,Business,New,2598,Lost,
L000601,809,Marketing,Referral,Business,New,1601,Lost,
L000602,766,Healthcare,Referral,Starter,Qualified,6746,In Progress,
L000603,749,Education,Referral,Business,Negotiation,4714,In Progress,
L000604,284,Professional Services,Paid Ads,Business,Qualified,10865,Lost,
L000605,307,E-commerce,Referral,Business,Negotiation,1712,Converted,C0585
L000606,616,SaaS,Paid Ads,Business,Negotiation,12132,Lost,
L000607,506,Healthcare,Referral,Business,Proposal,14768,Lost,
L000608,251,Marketing,Referral,Business,New,15583,In Progress,
L000609,624,Marketing,Website,Business,Qualified,9528,Converted,C0077
L000610,965,E-commerce,Partner,Business,Qualified,9916,In Progress,
L000611,577,Professional Services,Partner,Business,Demo,6904,Converted,C0877
L000612,699,Healthcare,Paid Ads,Business,Proposal,1962,Lost,
L000613,527,Professional Services,Referral,Business,New,1549,In Progress,
L000614,344,Healthcare,Outbound,Business,Proposal,1714,In Progress,
L000615,19,Marketing,Outbound,Business,Demo,2453,In Progress,
L000616,82,Professional Services,Referral,Business,Proposal,8706,Lost,
L000617,278,E-commerce,Website,Business,Negotiation,16645,Lost,
L000618,27,SaaS,Outbound,Starter,Qualified,11282,In Progress,
L000619,751,FinTech,Website,Starter,Demo,1057,In Progress,
L000620,845,Professional Services,Paid Ads,Starter,Proposal,3218,Converted,C0677
L000621,15,E-commerce,Outbound,Free,Proposal,10143,Lost,
L000622,448,Professional Services,Website,Business,Negotiation,11846,Lost,
L000623,694,Education,Outbound,Business,Negotiation,11173,Converted,C0237
L000624,53,E-commerce,Website,Starter,Qualified,13186,Lost,
L000625,705,Professional Services,Paid Ads,Business,Proposal,14041,Lost,
L000626,948,SaaS,Partner,Business,Demo,14201,Converted,C0537
L000627,207,Marketing,Paid Ads,Business,Negotiation,8028,Converted,C0495
L000628,67,Professional Services,Paid Ads,Starter,New,15324,In Progress,
L000629,840,IT Services,Outbound,Business,Negotiation,6422,Converted,C0246
L000630,745,IT Services,Referral,Business,Qualified,5981,Lost,
L000631,698,Healthcare,Referral,Starter,Demo,9130,Converted,C0447
L000632,217,Healthcare,Paid Ads,Business,Demo,15182,Lost,
L000633,589,Healthcare,Outbound,Business,Demo,9000,Converted,C0785
L000634,519,IT Services,Website,Business,Qualified,3322,Converted,C0216
L000635,439,E-commerce,Outbound,Business,New,14226,In Progress,
L000636,620,E-commerce,Outbound,Business,New,17511,Lost,
L000637,690,Education,Outbound,Business,Proposal,19007,Lost,
L000638,804,Healthcare,Partner,Business,Qualified,13919,Converted,C0903
L000639,583,Professional Services,Referral,Business,Demo,12954,In Progress,
L000640,527,E-commerce,Outbound,Business,Negotiation,14896,Lost,
L000641,714,Healthcare,Referral,Business,Proposal,4164,Lost,
L000642,640,FinTech,Partner,Business,Negotiation,11544,Lost,
L000643,155,Marketing,Referral,Business,Proposal,11259,Lost,
L000644,181,Education,Paid Ads,Starter,Proposal,16918,Converted,C0786
L000645,150,IT Services,Paid Ads,Starter,Demo,14662,In Progress,
L000646,761,E-commerce,Website,Business,New,14207,In Progress,
L000647,324,SaaS,Outbound,Starter,Proposal,17569,Lost,
L000648,254,SaaS,Partner,Business,New,4901,Converted,C0585
L000649,1000,Marketing,Website,Business,Qualified,18068,Converted,C0060
L000650,902,Healthcare,Website,Business,Proposal,10611,Lost,
L000651,352,Healthcare,Partner,Business,Proposal,18369,Converted,C0622
L000652,584,Marketing,Partner,Starter,Demo,7078,Converted,C0319
L000653,980,Professional Services,Paid Ads,Starter,Proposal,2537,Converted,C0871
L000654,137,SaaS,Paid Ads,Starter,Proposal,3614,Lost,
L000655,721,Marketing,Partner,Business,Demo,17544,Lost,
L000656,996,Education,Paid Ads,Business,Negotiation,6332,In Progress,
L000657,584,FinTech,Website,Business,Proposal,5049,In Progress,
L000658,160,FinTech,Website,Business,Demo,1018,In Progress,
L000659,237,Healthcare,Referral,Business,Proposal,5800,Converted,C0906
L000660,950,SaaS,Website,Business,Negotiation,11438,Converted,C0896
L000661,990,E-commerce,Website,Business,Negotiation,19453,In Progress,
L000662,556,Marketing,Paid Ads,Starter,New,3318,In Progress,
L000663,345,FinTech,Partner,Business,Demo,8749,In Progress,
L000664,719,IT Services,Website,Business,Qualified,4601,Lost,
L000665,119,Professional Services,Paid Ads,Starter,Negotiation,9149,Converted,C0528
L000666,135,Marketing,Partner,Business,New,2820,Lost,
L000667,868,SaaS,Outbound,Starter,New,5075,Converted,C0701
L000668,58,Healthcare,Website,Starter,New,8286,In Progress,
L000669,10,IT Services,Paid Ads,Starter,Proposal,3778,Lost,
L000670,715,FinTech,Website,Business,Proposal,6715,Lost,
L000671,924,IT Services,Paid Ads,Starter,New,9291,Converted,C0343
L000672,930,Professional Services,Partner,Starter,Qualified,18347,Lost,
L000673,23,Professional Services,Referral,Free,Qualified,6200,Lost,
L000674,472,E-commerce,Referral,Business,Negotiation,3831,In Progress,
L000675,628,IT Services,Website,Business,Qualified,7296,In Progress,
L000676,650,IT Services,Website,Starter,Negotiation,9639,Lost,
L000677,918,IT Services,Referral,Business,Negotiation,5621,Lost,
L000678,623,E-commerce,Partner,Business,New,1326,Converted,C0097
L000679,246,Education,Outbound,Business,Qualified,7072,Lost,
L000680,537,E-commerce,Referral,Business,Demo,6737,Lost,
L000681,559,FinTech,Paid Ads,Starter,New,14287,Converted,C0105
L000682,362,FinTech,Referral,Business,New,15458,In Progress,
L000683,568,FinTech,Partner,Business,Negotiation,17574,Lost,
L000684,682,SaaS,Outbound,Starter,Demo,11284,Converted,C0412
L000685,873,Healthcare,Outbound,Starter,Qualified,4570,In Progress,
L000686,916,Professional Services,Website,Business,Demo,19980,Converted,C0403
L000687,441,Marketing,Outbound,Business,Qualified,12599,Converted,C0935
L000688,920,Professional Services,Website,Business,Proposal,791,Converted,C0916
L000689,732,Professional Services,Partner,Starter,New,2347,In Progress,
L000690,374,Professional Services,Paid Ads,Business,Demo,5587,Lost,
L000691,26,E-commerce,Partner,Starter,Demo,3911,Converted,C0713
L000692,824,SaaS,Partner,Business,Demo,1274,Lost,
L000693,725,SaaS,Outbound,Business,Proposal,6101,Lost,
L000694,840,Marketing,Referral,Business,Negotiation,1728,Converted,C0628
L000695,46,E-commerce,Website,Free,Demo,8939,Converted,C0285
L000696,506,Professional Services,Outbound,Starter,Negotiation,8613,Lost,
L000697,664,IT Services,Outbound,Starter,Demo,1361,Converted,C0473
L000698,598,SaaS,Paid Ads,Business,Negotiation,11117,Converted,C0235
L000699,783,IT Services,Partner,Business,New,7397,Converted,C0344
L000700,352,Healthcare,Referral,Starter,New,17181,Converted,C0601
L000701,876,IT Services,Website,Starter,Negotiation,10237,In Progress,
L000702,198,Education,Paid Ads,Starter,Qualified,18436,In Progress,
L000703,390,E-commerce,Referral,Starter,Negotiation,18561,Lost,
L000704,617,SaaS,Website,Business,Negotiation,4370,Lost,
L000705,658,Education,Website,Business,Proposal,10800,Converted,C0376
L000706,771,Professional Services,Outbound,Business,Negotiation,3708,In Progress,
L000707,35,Healthcare,Paid Ads,Free,Qualified,5169,Converted,C0374
L000708,28,Marketing,Paid Ads,Starter,Qualified,14376,Lost,
L000709,553,E-commerce,Partner,Business,Qualified,9407,In Progress,
L000710,643,Marketing,Referral,Business,New,13760,In Progress,
L000711,386,IT Services,Partner,Starter,Proposal,1672,Converted,C0523
L000712,580,Healthcare,Paid Ads,Business,Demo,15281,In Progress,
L000713,546,SaaS,Website,Starter,Negotiation,9277,In Progress,
L000714,421,SaaS,Paid Ads,Business,Demo,6631,Converted,C0202
L000715,951,Marketing,Partner,Business,Proposal,4035,Lost,
L000716,649,Education,Outbound,Business,Proposal,3584,Converted,C0166
L000717,262,Healthcare,Partner,Starter,Demo,17482,Lost,
L000718,614,Healthcare,Paid Ads,Business,Qualified,19766,Lost,
L000719,984,E-commerce,Referral,Business,New,5686,Lost,
L000720,326,IT Services,Partner,Business,Qualified,19566,In Progress,
L000721,333,Marketing,Partner,Business,Proposal,9015,Lost,
L000722,147,Education,Website,Starter,Qualified,19695,In Progress,
L000723,168,Education,Partner,Business,Proposal,3763,In Progress,
L000724,216,Education,Partner,Starter,New,2563,Lost,
L000725,117,Marketing,Partner,Starter,Qualified,4022,In Progress,
L000726,187,Healthcare,Partner,Starter,New,15935,In Progress,
L000727,257,Marketing,Website,Business,Proposal,8774,In Progress,
L000728,923,FinTech,Referral,Business,Qualified,9095,Lost,
L000729,883,Marketing,Paid Ads,Business,Negotiation,9239,In Progress,
L000730,170,Marketing,Partner,Starter,Demo,15686,Converted,C0511
L000731,848,Professional Services,Website,Business,Qualified,2667,Converted,C0227
L000732,340,Professional Services,Paid Ads,Business,New,3712,Lost,
L000733,699,Education,Website,Business,New,13820,Lost,
L000734,384,Education,Website,Business,Proposal,17707,In Progress,
L000735,179,Education,Website,Starter,New,17328,In Progress,
L000736,940,Marketing,Referral,Business,Qualified,13289,Converted,C0237
L000737,188,IT Services,Referral,Starter,Negotiation,2577,Converted,C0149
L000738,745,E-commerce,Paid Ads,Business,Proposal,1332,In Progress,
L000739,150,Healthcare,Paid Ads,Starter,Demo,5980,In Progress,
L000740,125,E-commerce,Outbound,Starter,New,7882,Lost,
L000741,689,Professional Services,Partner,Business,Demo,15822,Lost,
L000742,498,SaaS,Paid Ads,Business,Negotiation,18083,In Progress,
L000743,719,Education,Website,Starter,Demo,8819,In Progress,
L000744,373,FinTech,Outbound,Starter,Demo,15170,In Progress,
L000745,416,Healthcare,Referral,Business,Demo,19398,Lost,
L000746,172,FinTech,Referral,Starter,Qualified,6691,Lost,
L000747,259,FinTech,Outbound,Business,Qualified,2525,Lost,
L000748,965,Professional Services,Paid Ads,Starter,New,15751,Lost,
L000749,85,Professional Services,Paid Ads,Starter,Proposal,6277,In Progress,
L000750,290,Healthcare,Website,Business,Negotiation,18075,Lost,
L000751,318,Professional Services,Website,Business,New,3306,In Progress,
L000752,629,SaaS,Paid Ads,Starter,New,3629,Converted,C0428
L000753,631,IT Services,Paid Ads,Starter,Qualified,15203,Converted,C0676
L000754,663,Healthcare,Paid Ads,Business,Demo,6202,Lost,
L000755,776,FinTech,Partner,Starter,Negotiation,1955,In Progress,
L000756,259,Marketing,Paid Ads,Business,New,2123,Lost,
L000757,226,IT Services,Referral,Starter,Demo,14291,Lost,
L000758,922,FinTech,Paid Ads,Business,Negotiation,13953,Lost,
L000759,763,Healthcare,Partner,Business,Demo,8216,In Progress,
L000760,23,FinTech,Paid Ads,Free,New,12690,Converted,C0093
L000761,491,SaaS,Paid Ads,Starter,Demo,15336,Converted,C0311
L000762,363,Education,Outbound,Starter,New,18662,In Progress,
L000763,64,Professional Services,Website,Starter,Proposal,18614,In Progress,
L000764,141,Professional Services,Paid Ads,Business,Proposal,15684,Converted,C0426
L000765,658,Marketing,Website,Starter,Qualified,17833,Converted,C0801
L000766,497,Healthcare,Referral,Business,Qualified,13041,In Progress,
L000767,273,Marketing,Paid Ads,Starter,Demo,11884,Converted,C0182
L000768,46,Professional Services,Outbound,Free,Demo,4717,Converted,C0542
L000769,813,IT Services,Partner,Business,Proposal,11094,Converted,C0872
L000770,139,Healthcare,Website,Starter,Demo,13899,In Progress,
L000771,996,Marketing,Website,Business,Proposal,16790,Converted,C0245
L000772,390,SaaS,Referral,Business,New,19101,In Progress,
L000773,231,E-commerce,Website,Business,Proposal,6723,In Progress,
L000774,378,Education,Referral,Starter,Demo,16115,Lost,
L000775,398,FinTech,Referral,Business,Proposal,5729,Lost,
L000776,63,Healthcare,Outbound,Business,Qualified,1980,Converted,C0270
L000777,817,FinTech,Referral,Starter,Proposal,1090,In Progress,
L000778,217,SaaS,Website,Business,Demo,8077,Converted,C0244
L000779,292,FinTech,Website,Business,Qualified,15009,Lost,
L000780,772,Marketing,Website,Business,Qualified,19128,Converted,C0733
L000781,896,Education,Paid Ads,Business,Qualified,8942,Lost,
L000782,453,Professional Services,Partner,Starter,New,7038,Converted,C0778
L000783,295,E-commerce,Outbound,Business,Demo,17683,Lost,
L000784,791,Healthcare,Website,Business,New,5745,In Progress,
L000785,340,Marketing,Referral,Business,Proposal,767,Converted,C0667
L000786,415,Marketing,Outbound,Starter,Qualified,1941,Lost,
L000787,575,Professional Services,Outbound,Starter,Proposal,3575,In Progress,
L000788,367,Education,Outbound,Business,New,15393,In Progress,
L000789,884,Professional Services,Partner,Business,Demo,4660,Converted,C0004
L000790,909,Education,Outbound,Business,Qualified,3450,Lost,
L000791,822,FinTech,Paid Ads,Business,Negotiation,4783,In Progress,
L000792,774,Education,Referral,Business,New,13616,In Progress,
L000793,281,Education,Partner,Starter,Qualified,17653,Converted,C0116
L000794,147,Professional Services,Partner,Business,Qualified,3266,Converted,C0673
L000795,922,Professional Services,Partner,Business,Demo,2219,Converted,C0148
L000796,517,Healthcare,Partner,Starter,Negotiation,12120,Lost,
L000797,311,Healthcare,Referral,Business,New,16176,Lost,
L000798,196,Marketing,Outbound,Starter,Qualified,19064,Converted,C0079
L000799,681,Marketing,Partner,Business,Qualified,19133,Lost,
L000800,694,IT Services,Paid Ads,Business,Proposal,14232,In Progress,
L000801,165,SaaS,Website,Business,Qualified,17696,In Progress,
L000802,296,Healthcare,Paid Ads,Business,Qualified,9605,Converted,C0173
L000803,424,IT Services,Paid Ads,Starter,Qualified,4996,Lost,
L000804,262,Marketing,Website,Starter,New,12230,Lost,
L000805,175,Healthcare,Referral,Business,Qualified,8968,In Progress,
L000806,119,Education,Partner,Starter,Qualified,4937,Lost,
L000807,92,Education,Partner,Starter,New,16614,Converted,C0822
L000808,643,IT Services,Paid Ads,Business,Proposal,5285,Lost,
L000809,49,Marketing,Paid Ads,Starter,Demo,1553,In Progress,
L000810,158,IT Services,Paid Ads,Starter,Proposal,9815,Lost,
L000811,956,Education,Outbound,Business,Qualified,7400,In Progress,
L000812,94,Professional Services,Outbound,Starter,Qualified,1495,Converted,C0184
L000813,421,FinTech,Paid Ads,Business,Negotiation,4369,In Progress,
L000814,571,Education,Paid Ads,Business,Demo,1255,Lost,
L000815,619,IT Services,Website,Business,Proposal,12967,Lost,
L000816,163,Marketing,Website,Business,Negotiation,3777,In Progress,
L000817,898,Marketing,Outbound,Business,Negotiation,16498,In Progress,
L000818,843,Marketing,Partner,Starter,Demo,2759,In Progress,
L000819,58,Healthcare,Referral,Starter,Proposal,19063,In Progress,
L000820,463,E-commerce,Referral,Starter,Negotiation,3541,Lost,
L000821,611,IT Services,Website,Business,Negotiation,13378,In Progress,
L000822,280,SaaS,Outbound,Business,Qualified,7856,Converted,C0363
L000823,730,FinTech,Website,Starter,New,12642,In Progress,
L000824,568,Marketing,Referral,Business,Proposal,8004,In Progress,
L000825,609,E-commerce,Referral,Business,Negotiation,13832,Lost,
L000826,437,E-commerce,Outbound,Starter,Negotiation,16165,Lost,
L000827,817,Healthcare,Outbound,Starter,Proposal,4270,Lost,
L000828,54,FinTech,Referral,Starter,New,15358,Lost,
L000829,931,SaaS,Referral,Starter,New,18489,In Progress,
L000830,87,Education,Outbound,Starter,New,16922,Lost,
L000831,904,E-commerce,Paid Ads,Business,New,5286,Lost,
L000832,192,Education,Website,Starter,Qualified,9341,Converted,C0565
L000833,456,Education,Website,Business,Proposal,12083,Lost,
L000834,293,E-commerce,Outbound,Starter,New,7918,In Progress,
L000835,28,Education,Outbound,Starter,Proposal,2465,Converted,C0421
L000836,857,E-commerce,Website,Starter,New,7950,Lost,
L000837,834,SaaS,Partner,Business,Qualified,8678,Lost,
L000838,513,SaaS,Partner,Business,Qualified,11868,Lost,
L000839,744,Education,Referral,Starter,Demo,11840,Lost,
L000840,38,IT Services,Partner,Free,Proposal,1753,In Progress,
L000841,292,IT Services,Partner,Business,Negotiation,8204,In Progress,
L000842,172,Professional Services,Referral,Business,Negotiation,19212,Lost,
L000843,826,Marketing,Outbound,Starter,Negotiation,4927,Lost,
L000844,581,Healthcare,Paid Ads,Business,Negotiation,16975,In Progress,
L000845,249,E-commerce,Referral,Business,New,17534,Converted,C0528
L000846,48,SaaS,Partner,Free,Proposal,5985,Converted,C0027
L000847,813,IT Services,Referral,Starter,Qualified,6258,In Progress,
L000848,957,Education,Partner,Starter,Qualified,14873,In Progress,
